date,change
2008-08-28,0.018489008051286202
2008-08-29,-0.014615225715695462
2008-09-02,-0.002342350458594716
2008-09-03,0.001385787172264731
2008-09-04,-0.02988412261291192
2008-09-05,0.002925395706023166
2008-09-08,0.025824884858336603
2008-09-09,-0.024325977304673743
2008-09-10,0.0034004913304834603
2008-09-11,0.01462340667961074
2008-09-12,-0.0010250391167870574
2008-09-15,-0.04416743492158543
2008-09-16,0.012961746771928784
2008-09-17,-0.04063289513899067
2008-09-18,0.038646855789912275
2008-09-19,0.03346282880915888
2008-09-22,-0.03273055835566592
2008-09-23,-0.014662721990179501
2008-09-24,-0.002671784208281241
2008-09-25,0.01818816702185734
2008-09-26,0.010984335051705372
2008-09-29,-0.06979008590943465
2008-09-30,0.046810316966460604
2008-10-01,-0.0018054201311256777
